,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
696,2012-10-05,103.5179920318625,3.28,3.17,-2.49591555231736,11215000.0,0.0,1.0,3.24,3.28,3.17,3.22,11215000.0
697,2012-10-08,103.48696462700914,3.24,3.15,-2.5269419630991363,9897400.0,0.0,1.0,3.21,3.24,3.15,3.19,9897400.0
698,2012-10-09,103.4559372221558,3.26,3.15,-2.4679683738809124,19696500.0,0.0,1.0,3.18,3.26,3.15,3.25,19696500.0
699,2012-10-10,103.49490981730244,3.22,3.13,-2.5689947846626886,19234500.0,0.0,1.0,3.22,3.22,3.13,3.15,19234500.0
700,2012-10-11,103.4638824124491,3.24,3.13,-2.5200211954444645,18206700.0,0.0,1.0,3.19,3.24,3.13,3.2,18206700.0
701,2012-10-12,103.13285500759574,2.9935,2.74,-2.9810476062262397,83878000.0,0.0,1.0,2.86,2.9935,2.74,2.74,83878000.0
702,2012-10-15,103.0618276027424,2.83,2.73,-2.972074017008016,26746100.0,0.0,1.0,2.79,2.83,2.73,2.75,26746100.0
703,2012-10-16,103.03580019788905,2.78,2.66,-3.043100427789792,38376800.0,0.0,1.0,2.765,2.78,2.66,2.68,38376800.0
704,2012-10-17,102.9297727930357,2.8,2.64,-2.954126838571568,32949000.0,0.0,1.0,2.66,2.8,2.64,2.77,32949000.0
705,2012-10-18,103.02874538818234,2.78,2.6,-3.1051532493533442,35679500.0,0.0,1.0,2.76,2.78,2.6,2.62,35679500.0
706,2012-10-19,102.80771798332898,2.62,2.17,-3.5461796601351203,110069000.0,0.0,1.0,2.54,2.62,2.17,2.18,110069000.0
707,2012-10-22,102.49669057847564,2.23,2.09,-3.6272060709168965,37955900.0,0.0,1.0,2.23,2.23,2.09,2.1,37955900.0
708,2012-10-23,102.32566317362229,2.21,2.03,-3.5882324816986726,33501900.0,0.0,1.0,2.06,2.21,2.03,2.14,33501900.0
709,2012-10-24,102.43463576876894,2.22,2.06,-3.6492588924804488,37324400.0,0.0,1.0,2.17,2.22,2.06,2.08,37324400.0
710,2012-10-25,102.36360836391559,2.15,2.07,-3.610285303262225,21980400.0,0.0,1.0,2.1,2.15,2.07,2.12,21980400.0
711,2012-10-26,102.39258095906223,2.14,2.06,-3.6613117140440012,16693000.0,0.0,1.0,2.13,2.14,2.06,2.07,16693000.0
712,2012-10-31,102.39155355420888,2.14,2.05,-3.6823381248257774,17427600.0,0.0,1.0,2.13,2.14,2.05,2.05,17427600.0
713,2012-11-01,102.33052614935553,2.14,2.05,-3.593364535607553,21773300.0,0.0,1.0,2.07,2.14,2.05,2.14,21773300.0
714,2012-11-02,102.40949874450219,2.15,2.07,-3.6343909463893294,20725300.0,0.0,1.0,2.15,2.15,2.07,2.1,20725300.0
715,2012-11-05,102.35847133964884,2.12,2.06,-3.6254173571711057,21064800.0,0.0,1.0,2.1,2.12,2.06,2.11,21064800.0
716,2012-11-06,102.37744393479548,2.14,2.06,-3.666443767952882,24027100.0,0.0,1.0,2.12,2.14,2.06,2.07,24027100.0
